Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,419,240,179,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2042,1028,1014,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1262,636,626,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,1624,817,807,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,366,185,181,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,621,310,311,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1830,920,910,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2111,1058,1053,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,500,253,247,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,2872,1446,1426,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2457,1250,1207,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1881,947,934,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,537,269,268,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2779,1403,1376,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1642,827,815,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,173,90,83,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1028,519,509,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,1320,667,653,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,929,467,462,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,568,289,279,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1961,981,980,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1298,653,645,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2199,1103,1096,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1211,610,601,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1041,521,520,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1354,681,673,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,2997,1509,1488,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1288,648,640,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,4689,2352,2337,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1917,964,953,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2458,1233,1225,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,452,262,190,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,176,90,86,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,821,422,399,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1132,568,564,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,970,494,476,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,915,463,452,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,2340,1178,1162,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1210,609,601,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1296,650,646,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,1509,763,746,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,2180,1098,1082,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1766,888,878,KIT
