Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1484,790,694,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3916,1966,1950,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2658,1339,1319,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3926,1973,1953,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,895,451,444,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1825,927,898,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,4078,2043,2035,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3351,1683,1668,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,916,461,455,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5319,2680,2639,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3542,1805,1737,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2778,1398,1380,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,883,443,440,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4722,2386,2336,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3357,1685,1672,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,678,346,332,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3388,1715,1673,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,4498,2264,2234,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4333,2179,2154,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1584,806,778,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3470,1738,1732,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2146,1076,1070,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3971,1992,1979,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1973,994,979,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1329,666,663,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,2321,1168,1153,PIK3CA
