Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,790,438,352,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2668,1341,1327,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1505,760,745,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2433,1232,1201,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,643,320,323,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1414,714,700,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3029,1518,1511,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2760,1389,1371,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,767,388,379,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4820,2424,2396,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3363,1682,1681,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2524,1272,1252,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,717,363,354,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3894,1960,1934,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2963,1491,1472,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,439,229,210,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2234,1128,1106,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2849,1428,1421,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2850,1436,1414,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1027,520,507,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2105,1058,1047,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1527,768,759,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2487,1247,1240,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1531,775,756,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1478,742,736,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1420,713,707,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3243,1633,1610,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1660,836,824,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,4206,2111,2095,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2151,1080,1071,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2591,1299,1292,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,869,506,363,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,444,230,214,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1456,745,711,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2679,1349,1330,FGFR3
