Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,825,465,360,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3319,1671,1648,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2151,1087,1064,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3042,1537,1505,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,754,381,373,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1275,647,628,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3100,1558,1542,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2874,1444,1430,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,728,363,365,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4637,2333,2304,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3062,1561,1501,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2232,1120,1112,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,732,370,362,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3853,1948,1905,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2745,1377,1368,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,415,212,203,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2532,1277,1255,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3176,1599,1577,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,3330,1675,1655,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1397,710,687,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2724,1364,1360,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1862,935,927,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3038,1529,1509,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1861,944,917,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1969,987,982,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1379,691,688,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3655,1837,1818,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2065,1040,1025,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,4944,2483,2461,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2600,1309,1291,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3099,1554,1545,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,510,308,202,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,251,129,122,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,916,461,455,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,1730,872,858,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1470,750,720,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1758,881,877,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,3764,1897,1867,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2639,1325,1314,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2741,1379,1362,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2867,1444,1423,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3485,1749,1736,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2841,1427,1414,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,4269,2145,2124,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2166,1088,1078,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4239,2143,2096,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2670,1345,1325,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3366,1691,1675,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,4439,2228,2211,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1216,614,602,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3594,1810,1784,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3690,1852,1838,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,4768,2398,2370,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5170,2602,2568,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2532,1274,1258,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2105,1059,1046,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1366,691,675,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2591,1304,1287,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3390,1703,1687,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3486,1767,1719,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,2932,1470,1462,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,3506,1763,1743,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,2651,1334,1317,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2675,1339,1336,APC
chr5,112174533,112174691,CHP2_APC_2.1,3145,1594,1551,APC
chr5,112175119,112175293,CHP2_APC_3.1,2586,1302,1284,APC
chr5,112175291,112175468,CHP2_APC_4.1,3104,1568,1536,APC
chr5,112175543,112175728,CHP2_APC_5.1,1248,633,615,APC
chr5,112175716,112175887,CHP2_APC_6.1,3888,1969,1919,APC
chr5,112175896,112176060,CHP2_APC_7.1,1784,898,886,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,600,305,295,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1576,791,785,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2696,1353,1343,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2382,1199,1183,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,1987,997,990,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,4616,2327,2289,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,971,488,483,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,2223,1119,1104,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1324,669,655,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,2003,1012,991,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2407,1209,1198,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3594,1813,1781,MET
chr7,116340131,116340295,CHP2_MET_2.1,1993,1003,990,MET
chr7,116403107,116403276,CHP2_MET_3.1,2172,1092,1080,MET
chr7,116411854,116412022,CHP2_MET_4.1,3308,1676,1632,MET
chr7,116417403,116417567,CHP2_MET_5.1,2941,1482,1459,MET
chr7,116423383,116423517,CHP2_MET_6.1,2007,1018,989,MET
chr7,128845039,128845213,CHP2_SMO_1.1,2474,1242,1232,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1077,544,533,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1304,663,641,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1217,614,603,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1637,831,806,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,3056,1542,1514,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,3218,1631,1587,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,2766,1390,1376,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,2049,1042,1007,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,1265,640,625,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,2360,1188,1172,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,667,340,327,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,1005,603,402,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,2115,1060,1055,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,4170,2105,2065,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,3107,1559,1548,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,2082,1057,1025,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1569,794,775,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,572,289,283,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,1753,886,867,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,278,142,136,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1606,814,792,RET
chr10,43609850,43610035,CHP2_RET_2.1,664,337,327,RET
chr10,43613770,43613918,CHP2_RET_3.1,1501,759,742,RET
chr10,43615522,43615712,CHP2_RET_4.1,1032,525,507,RET
chr10,43617290,43617458,CHP2_RET_5.1,2096,1054,1042,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,1143,578,565,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,3877,1963,1914,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,2324,1171,1153,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,2180,1100,1080,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,2897,1452,1445,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,2644,1326,1318,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,6037,3032,3005,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,2977,1497,1480,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,3327,1675,1652,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,953,481,472,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,3053,1536,1517,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,2245,1145,1100,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,518,261,257,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,461,235,226,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,2813,1410,1403,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,4261,2157,2104,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,4098,2058,2040,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,2866,1440,1426,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,3337,1682,1655,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,2536,1275,1261,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,4484,2261,2223,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,4898,2470,2428,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,2190,1098,1092,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,2851,1437,1414,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,4696,2368,2328,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,4362,2198,2164,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,3978,2011,1967,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,2725,1365,1360,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,2795,1407,1388,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,2115,1067,1048,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,1259,635,624,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,3480,1749,1731,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,3323,1671,1652,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,2699,1354,1345,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,3679,1858,1821,PTPN11
chr12,112926811,112926986,CHP2_PTPN11_2.1,3178,1598,1580,PTPN11
chr12,121431347,121431484,CHP2_HNF1A_1.1,2164,1092,1072,HNF1A
chr12,121431986,121432124,CHP2_HNF1A_2.1,3135,1581,1554,HNF1A
chr13,28592555,28592688,CHP2_FLT3_4.1,2575,1303,1272,FLT3
chr13,28602251,28602404,CHP2_FLT3_3.1,3172,1603,1569,FLT3
chr13,28608203,28608373,CHP2_FLT3_2.1,2749,1384,1365,FLT3
chr13,28610069,28610209,CHP2_FLT3_1.1,4029,2037,1992,FLT3
chr13,48919199,48919337,CHP2_RB1_1.1,3421,1716,1705,RB1
chr13,48923115,48923280,CHP2_RB1_2.1,2905,1463,1442,RB1
chr13,48941577,48941749,CHP2_RB1_3.1,2637,1325,1312,RB1
chr13,48942573,48942736,CHP2_RB1_4.1,1723,871,852,RB1
chr13,48953729,48953899,CHP2_RB1_5.1,2451,1245,1206,RB1
chr13,48955501,48955630,CHP2_RB1_6.1,4058,2038,2020,RB1
chr13,49027081,49027203,CHP2_RB1_7.1,3431,1732,1699,RB1
chr13,49033803,49033959,CHP2_RB1_8.1,2995,1508,1487,RB1
