Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,836,449,387,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3339,1682,1657,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1760,884,876,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3089,1561,1528,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,580,291,289,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1452,741,711,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3618,1823,1795,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3312,1661,1651,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,554,279,275,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,7484,3771,3713,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,4506,2299,2207,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3003,1510,1493,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,565,283,282,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4405,2227,2178,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,4046,2035,2011,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,322,164,158,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2726,1380,1346,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3669,1841,1828,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4336,2190,2146,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1012,514,498,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2630,1318,1312,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1520,766,754,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3451,1729,1722,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1691,851,840,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,2439,1224,1215,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1372,689,683,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3938,1987,1951,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2047,1028,1019,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5752,2884,2868,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2757,1382,1375,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2866,1439,1427,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,907,534,373,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,319,163,156,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1655,856,799,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,3123,1576,1547,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2823,1439,1384,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,2156,1084,1072,PDGFRA
