Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,757,413,344,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2821,1418,1403,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1427,716,711,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2971,1490,1481,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,768,390,378,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1521,767,754,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2954,1481,1473,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2717,1361,1356,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,413,206,207,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,6341,3181,3160,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2962,1487,1475,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2739,1370,1369,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,561,279,282,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4160,2090,2070,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3481,1744,1737,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,276,138,138,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2959,1487,1472,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,4187,2101,2086,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4483,2251,2232,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,828,416,412,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3168,1590,1578,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1844,925,919,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3892,1951,1941,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1549,781,768,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1528,766,762,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1316,659,657,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4746,2376,2370,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2311,1161,1150,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6969,3489,3480,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2963,1486,1477,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2964,1487,1477,PIK3CA
