Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,899,492,407,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3064,1532,1532,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1663,837,826,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2887,1452,1435,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,652,330,322,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1202,604,598,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2803,1405,1398,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2402,1202,1200,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,587,295,292,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4091,2050,2041,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2640,1328,1312,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2106,1057,1049,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,653,330,323,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3400,1710,1690,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2575,1291,1284,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,411,208,203,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2111,1067,1044,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3032,1529,1503,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2878,1448,1430,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,935,474,461,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2457,1232,1225,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1487,754,733,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2746,1374,1372,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1373,692,681,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1170,585,585,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1387,693,694,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3608,1816,1792,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1669,842,827,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5207,2621,2586,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2336,1167,1169,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2615,1314,1301,PIK3CA
