Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,421,235,186,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3340,1674,1666,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1273,637,636,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2848,1436,1412,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,486,241,245,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,685,347,338,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1728,863,865,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1928,967,961,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,173,87,86,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,1667,839,828,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,551,283,268,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1478,744,734,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,529,266,263,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2415,1217,1198,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1415,709,706,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,526,272,254,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,41,22,19,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2377,1199,1178,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,610,305,305,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,472,237,235,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1058,532,526,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,759,381,378,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1461,734,727,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,327,165,162,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,694,349,345,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,950,476,474,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,2939,1477,1462,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,377,189,188,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5196,2613,2583,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1256,631,625,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,1768,887,881,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,764,453,311,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,489,257,232,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1324,675,649,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,84,42,42,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1232,626,606,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,570,288,282,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,3419,1714,1705,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,909,457,452,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,747,376,371,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,44,22,22,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,2038,1022,1016,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1801,911,890,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,974,491,483,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,978,490,488,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,3510,1768,1742,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2268,1144,1124,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2859,1435,1424,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2177,1097,1080,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,495,250,245,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,1174,594,580,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3572,1795,1777,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,4401,2221,2180,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,6064,3053,3011,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,1579,792,787,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,573,289,284,KDR
