Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,861,464,397,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3193,1600,1593,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1998,1002,996,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2737,1377,1360,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,642,322,320,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1251,636,615,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,2893,1444,1449,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2619,1311,1308,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,572,289,283,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4094,2053,2041,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,2701,1358,1343,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2021,1012,1009,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,563,282,281,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3425,1715,1710,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2539,1273,1266,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,473,243,230,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2280,1148,1132,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3145,1576,1569,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,3065,1537,1528,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,993,497,496,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2431,1221,1210,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1456,729,727,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2819,1414,1405,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1564,792,772,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1251,629,622,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1562,782,780,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3574,1792,1782,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1647,829,818,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,5409,2716,2693,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2385,1198,1187,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2676,1342,1334,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,776,429,347,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,426,217,209,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1310,664,646,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2231,1119,1112,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1872,947,925,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1371,689,682,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,3725,1866,1859,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1965,987,978,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2180,1095,1085,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2727,1365,1362,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3019,1507,1512,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2253,1132,1121,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,3283,1646,1637,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1597,801,796,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4174,2097,2077,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2294,1151,1143,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3223,1611,1612,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,4336,2174,2162,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,894,450,444,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3045,1522,1523,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3289,1653,1636,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,4327,2180,2147,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5384,2704,2680,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,2004,1008,996,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1664,836,828,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1133,564,569,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2102,1057,1045,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3102,1558,1544,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3086,1549,1537,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,2482,1240,1242,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,2990,1503,1487,FBXW7
