Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,797,425,372,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,5475,2748,2727,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2023,1017,1006,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,5106,2571,2535,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,560,283,277,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1061,536,525,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3071,1539,1532,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3317,1665,1652,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,247,124,123,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,3108,1566,1542,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,868,435,433,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2076,1039,1037,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,634,318,316,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3606,1820,1786,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2778,1400,1378,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,937,479,458,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,79,41,38,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3627,1821,1806,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,1183,598,585,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,710,357,353,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,1760,883,877,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1086,547,539,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2483,1244,1239,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,519,263,256,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,943,473,470,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1538,772,766,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4696,2363,2333,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,535,270,265,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,8971,4501,4470,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2096,1051,1045,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3005,1506,1499,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,1379,762,617,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,661,339,322,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,2194,1116,1078,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,116,59,57,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2297,1162,1135,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,975,488,487,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,5501,2762,2739,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,1445,726,719,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,1451,728,723,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,98,49,49,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3183,1598,1585,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,3080,1548,1532,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,2148,1076,1072,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,1352,677,675,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,6027,3022,3005,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,3394,1709,1685,KIT
