Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1069,572,497,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3488,1743,1745,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1689,850,839,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3406,1718,1688,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,920,473,447,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,2028,1031,997,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3587,1800,1787,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3011,1509,1502,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,575,286,289,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,7527,3783,3744,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3517,1802,1715,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3127,1579,1548,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,731,366,365,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4835,2431,2404,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3866,1945,1921,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,566,290,276,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3458,1748,1710,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,5163,2597,2566,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,5418,2731,2687,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,970,490,480,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3817,1914,1903,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2267,1145,1122,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,4998,2502,2496,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2184,1099,1085,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1701,851,850,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,2101,1057,1044,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,5384,2704,2680,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2562,1289,1273,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,8241,4132,4109,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3608,1810,1798,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3443,1730,1713,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,632,336,296,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,269,137,132,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1267,644,623,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2528,1274,1254,FGFR3
