Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,386,192,194,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3145,1577,1568,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,2208,1106,1102,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3567,1800,1767,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,465,232,233,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,826,418,408,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,4065,2040,2025,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3532,1766,1766,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,906,459,447,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,6063,3051,3012,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,4062,2088,1974,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3125,1578,1547,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,919,460,459,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,5019,2526,2493,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3568,1789,1779,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,169,88,81,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1768,890,878,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2864,1448,1416,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2870,1446,1424,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,1342,678,664,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3160,1587,1573,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,2070,1037,1033,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3529,1773,1756,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1789,903,886,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,2193,1101,1092,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1844,930,914,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4626,2323,2303,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2257,1138,1119,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6654,3337,3317,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3366,1687,1679,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3790,1899,1891,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,208,124,84,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,106,55,51,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,400,205,195,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,630,315,315,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,544,276,268,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,2048,1033,1015,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4913,2464,2449,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2929,1465,1464,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2268,1139,1129,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3922,1972,1950,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,4355,2177,2178,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,3245,1642,1603,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,4752,2377,2375,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2738,1374,1364,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5913,2975,2938,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,3377,1698,1679,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,4713,2362,2351,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,6229,3115,3114,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,850,429,421,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,2950,1485,1465,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3807,1915,1892,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,6096,3079,3017,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5727,2878,2849,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,3244,1630,1614,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2073,1042,1031,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1777,895,882,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2977,1497,1480,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,4656,2343,2313,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,4321,2183,2138,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,3442,1728,1714,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,5035,2523,2512,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,3045,1532,1513,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,3482,1752,1730,APC
chr5,112174533,112174691,CHP2_APC_2.1,3647,1842,1805,APC
chr5,112175119,112175293,CHP2_APC_3.1,3109,1563,1546,APC
chr5,112175291,112175468,CHP2_APC_4.1,3380,1703,1677,APC
chr5,112175543,112175728,CHP2_APC_5.1,1207,603,604,APC
chr5,112175716,112175887,CHP2_APC_6.1,4605,2323,2282,APC
chr5,112175896,112176060,CHP2_APC_7.1,2035,1021,1014,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,326,168,158,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1407,710,697,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2846,1434,1412,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2467,1240,1227,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,929,466,463,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,3475,1745,1730,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,642,326,316,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,1500,755,745,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,738,371,367,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1274,643,631,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,1110,558,552,EGFR
