Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,396,213,183,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3013,1515,1498,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1058,530,528,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2592,1308,1284,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,403,203,200,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,514,260,254,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,1701,854,847,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,1721,864,857,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,155,78,77,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,1565,789,776,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,457,226,231,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,1133,570,563,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,377,191,186,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,2061,1038,1023,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,1430,719,711,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,446,225,221,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,38,19,19,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,1851,930,921,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,558,281,277,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,334,169,165,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,954,479,475,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,596,299,297,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,1354,679,675,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,281,141,140,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,781,392,389,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,764,381,383,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,2464,1240,1224,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,293,147,146,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,4459,2237,2222,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,1244,624,620,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,1647,827,820,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,577,336,241,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,449,230,219,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1259,638,621,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,78,40,38,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,1075,546,529,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,492,248,244,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,2922,1468,1454,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,728,366,362,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,739,372,367,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,19,10,9,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,1898,950,948,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,1561,781,780,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,1235,618,617,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,728,366,362,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,3186,1596,1590,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,1966,988,978,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2754,1381,1373,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2104,1050,1054,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,310,156,154,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,933,468,465,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3213,1616,1597,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,3859,1941,1918,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5860,2948,2912,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,1262,633,629,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,379,190,189,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,837,427,410,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,774,389,385,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,2759,1383,1376,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,2205,1112,1093,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,835,420,415,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,2980,1501,1479,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,605,305,300,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2253,1129,1124,APC
chr5,112174533,112174691,CHP2_APC_2.1,1250,629,621,APC
chr5,112175119,112175293,CHP2_APC_3.1,746,374,372,APC
chr5,112175291,112175468,CHP2_APC_4.1,669,338,331,APC
chr5,112175543,112175728,CHP2_APC_5.1,213,107,106,APC
chr5,112175716,112175887,CHP2_APC_6.1,998,505,493,APC
chr5,112175896,112176060,CHP2_APC_7.1,452,228,224,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,559,283,276,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1921,965,956,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,1019,514,505,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,1371,690,681,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,403,203,200,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,5016,2513,2503,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,541,272,269,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,631,315,316,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,672,339,333,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,935,473,462,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,807,405,402,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,278,140,138,MET
chr7,116340131,116340295,CHP2_MET_2.1,1950,986,964,MET
chr7,116403107,116403276,CHP2_MET_3.1,2156,1082,1074,MET
chr7,116411854,116412022,CHP2_MET_4.1,5193,2610,2583,MET
chr7,116417403,116417567,CHP2_MET_5.1,4718,2373,2345,MET
chr7,116423383,116423517,CHP2_MET_6.1,4149,2082,2067,MET
chr7,128845039,128845213,CHP2_SMO_1.1,30,15,15,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,683,343,340,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1779,894,885,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1021,511,510,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1187,596,591,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,651,327,324,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,868,438,430,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,2587,1302,1285,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1343,680,663,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,326,163,163,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,595,299,296,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,234,121,113,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,355,195,160,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,596,298,298,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,2439,1225,1214,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,2837,1419,1418,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,375,190,185,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1291,649,642,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,256,129,127,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,1258,636,622,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,403,204,199,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1529,770,759,RET
chr10,43609850,43610035,CHP2_RET_2.1,293,146,147,RET
chr10,43613770,43613918,CHP2_RET_3.1,1424,719,705,RET
chr10,43615522,43615712,CHP2_RET_4.1,267,134,133,RET
chr10,43617290,43617458,CHP2_RET_5.1,674,338,336,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,712,356,356,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,806,404,402,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,688,348,340,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,380,192,188,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,976,488,488,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,1020,513,507,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,4953,2485,2468,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,667,337,330,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,2354,1184,1170,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,314,156,158,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,680,341,339,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,1043,526,517,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,390,197,193,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,557,283,274,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,1211,609,602,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,3334,1681,1653,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,1924,968,956,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,1760,880,880,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,1261,636,625,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,1415,709,706,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,1965,990,975,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,4322,2170,2152,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,1905,954,951,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,2332,1172,1160,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,3829,1931,1898,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,2806,1413,1393,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,1405,710,695,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,463,232,231,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,1704,856,848,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,1021,514,507,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,576,289,287,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,1493,751,742,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,1906,961,945,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,799,401,398,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,1550,779,771,PTPN11
chr12,112926811,112926986,CHP2_PTPN11_2.1,122,61,61,PTPN11
chr12,121431347,121431484,CHP2_HNF1A_1.1,1838,927,911,HNF1A
chr12,121431986,121432124,CHP2_HNF1A_2.1,4438,2227,2211,HNF1A
chr13,28592555,28592688,CHP2_FLT3_4.1,1816,918,898,FLT3
chr13,28602251,28602404,CHP2_FLT3_3.1,2739,1378,1361,FLT3
chr13,28608203,28608373,CHP2_FLT3_2.1,706,356,350,FLT3
chr13,28610069,28610209,CHP2_FLT3_1.1,3728,1880,1848,FLT3
chr13,48919199,48919337,CHP2_RB1_1.1,1785,897,888,RB1
chr13,48923115,48923280,CHP2_RB1_2.1,686,347,339,RB1
chr13,48941577,48941749,CHP2_RB1_3.1,360,180,180,RB1
chr13,48942573,48942736,CHP2_RB1_4.1,456,230,226,RB1
chr13,48953729,48953899,CHP2_RB1_5.1,649,327,322,RB1
chr13,48955501,48955630,CHP2_RB1_6.1,3072,1546,1526,RB1
chr13,49027081,49027203,CHP2_RB1_7.1,1939,980,959,RB1
chr13,49033803,49033959,CHP2_RB1_8.1,1150,576,574,RB1
chr13,49037822,49037957,CHP2_RB1_9.1,2123,1069,1054,RB1
chr13,49039125,49039257,CHP2_RB1_10.1,1763,885,878,RB1
chr14,105241409,105241544,CHP2_AKT1_2.1,1958,986,972,AKT1
chr14,105246421,105246608,CHP2_AKT1_1.1,275,138,137,AKT1
chr15,90631800,90631979,CHP2_IDH2_1.1,690,347,343,IDH2
chr16,68835578,68835722,CHP2_CDH1_1.1,1923,967,956,CDH1
chr16,68846000,68846176,CHP2_CDH1_2.1,712,358,354,CDH1
chr16,68847175,68847327,CHP2_CDH1_3.1,2440,1228,1212,CDH1
chr17,7573899,7574060,CHP2_TP53_8.1,1559,780,779,TP53
chr17,7576991,7577176,CHP2_TP53_7.1,426,216,210,TP53
chr17,7577484,7577637,CHP2_TP53_6.1,2954,1483,1471,TP53
chr17,7578156,7578323,CHP2_TP53_5.1,757,382,375,TP53
chr17,7578328,7578508,CHP2_TP53_4.1,900,455,445,TP53
chr17,7578492,7578626,CHP2_TP53_3.1,2384,1195,1189,TP53
chr17,7579326,7579510,CHP2_TP53_2.1,285,144,141,TP53
chr17,7579829,7579985,CHP2_TP53_1.1,1924,971,953,TP53
chr17,37880188,37880365,CHP2_ERBB2_1.1,4414,2207,2207,ERBB2
chr17,37880929,37881086,CHP2_ERBB2_2.1,5576,2797,2779,ERBB2
chr17,37881300,37881478,CHP2_ERBB2_3.1,1996,1063,933,ERBB2
chr18,48575075,48575238,CHP2_SMAD4_1.1,940,471,469,SMAD4
chr18,48575532,48575702,CHP2_SMAD4_2.1,366,183,183,SMAD4
chr18,48581166,48581327,CHP2_SMAD4_3.1,888,445,443,SMAD4
chr18,48584527,48584703,CHP2_SMAD4_4.1,639,322,317,SMAD4
chr18,48586227,48586386,CHP2_SMAD4_5.1,1060,533,527,SMAD4
chr18,48591790,48591956,CHP2_SMAD4_6.1,989,495,494,SMAD4
chr18,48593375,48593544,CHP2_SMAD4_7.1,457,230,227,SMAD4
chr18,48603004,48603144,CHP2_SMAD4_8.1,3206,1613,1593,SMAD4
chr18,48604634,48604799,CHP2_SMAD4_9.1,524,262,262,SMAD4
chr19,1206953,1207129,CHP2_STK11_1.1,1677,846,831,STK11
chr19,1220286,1220475,CHP2_STK11_2.1,114,57,57,STK11
chr19,1220456,1220628,CHP2_STK11_3.1,626,370,256,STK11
chr19,1221212,1221357,CHP2_STK11_4.1,2566,1289,1277,STK11
chr19,1222990,1223169,CHP2_STK11_5.1,662,334,328,STK11
chr19,3118857,3118998,CHP2_GNA11_1.1,2097,1058,1039,GNA11
chr19,17945592,17945759,CHP2_JAK3_3.1,1135,573,562,JAK3
chr19,17947962,17948099,CHP2_JAK3_2.1,1411,711,700,JAK3
chr19,17954110,17954250,CHP2_JAK3_1.1,3126,1578,1548,JAK3
chr20,36031642,36031794,CHP2_SRC_1.1,2902,1466,1436,SRC
chr20,57484372,57484529,CHP2_GNAS_1.1,554,280,274,GNAS
chr20,57484538,57484697,CHP2_GNAS_2.1,1274,645,629,GNAS
chr22,24133929,24134089,CHP2_SMARCB1_1.1,1157,583,574,SMARCB1
chr22,24143176,24143336,CHP2_SMARCB1_2.1,312,158,154,SMARCB1
chr22,24145453,24145623,CHP2_SMARCB1_3.1,1333,675,658,SMARCB1
chr22,24176235,24176416,CHP2_SMARCB1_4.1,296,150,146,SMARCB1
