Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,695,378,317,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3220,1612,1608,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1719,863,856,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2615,1315,1300,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,520,262,258,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,943,476,467,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3374,1691,1683,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3213,1611,1602,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,723,360,363,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5473,2746,2727,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3488,1761,1727,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3077,1545,1532,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,662,332,330,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4191,2109,2082,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2559,1286,1273,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,237,121,116,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,1691,848,843,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2068,1038,1030,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,1731,870,861,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,645,326,319,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3078,1544,1534,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1850,926,924,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3126,1571,1555,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1696,852,844,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1859,930,929,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1644,827,817,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,5005,2510,2495,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2074,1038,1036,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,7253,3635,3618,PIK3CA
