Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,749,415,334,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3485,1753,1732,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1918,965,953,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,3280,1656,1624,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,583,297,286,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1314,667,647,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3132,1573,1559,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3023,1525,1498,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,472,237,235,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,5798,2917,2881,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3649,1851,1798,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2407,1209,1198,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,460,227,233,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3769,1909,1860,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3298,1658,1640,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,280,143,137,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3002,1521,1481,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,4106,2062,2044,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,4328,2174,2154,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,945,480,465,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2807,1409,1398,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1434,724,710,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3356,1684,1672,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1585,800,785,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1506,758,748,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1308,663,645,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4321,2178,2143,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2077,1046,1031,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6264,3158,3106,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2952,1486,1466,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2954,1481,1473,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,481,276,205,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,273,140,133,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1383,703,680,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2111,1066,1045,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2044,1045,999,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1734,865,869,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4877,2452,2425,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2699,1353,1346,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,3091,1552,1539,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3584,1807,1777,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3650,1836,1814,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2614,1323,1291,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,4803,2414,2389,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2049,1033,1016,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,5443,2750,2693,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2423,1218,1205,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,4229,2124,2105,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,5257,2643,2614,KIT
