Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,851,460,391,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2997,1496,1501,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1834,911,923,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2813,1416,1397,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,673,339,334,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1510,758,752,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3724,1867,1857,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,3180,1588,1592,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,698,355,343,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,6185,3106,3079,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,4135,2085,2050,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2864,1442,1422,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,536,268,268,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,4087,2053,2034,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,3657,1832,1825,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,297,149,148,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2407,1216,1191,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,3209,1619,1590,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,3994,2009,1985,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,959,486,473,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,3462,1726,1736,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1980,990,990,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,3797,1895,1902,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,2288,1149,1139,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1457,729,728,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1529,760,769,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,4621,2324,2297,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,2585,1300,1285,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,6503,3264,3239,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,3285,1644,1641,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,3334,1664,1670,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,658,389,269,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,373,190,183,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1297,657,640,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2243,1130,1113,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2063,1036,1027,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1827,921,906,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,4370,2188,2182,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2698,1353,1345,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,3017,1518,1499,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,3920,1968,1952,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3477,1740,1737,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2774,1395,1379,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,5097,2558,2539,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2142,1078,1064,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4924,2469,2455,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2586,1303,1283,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,2913,1460,1453,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,2273,1141,1132,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1271,641,630,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,4336,2184,2152,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3694,1849,1845,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5161,2601,2560,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,6023,3023,3000,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,3066,1534,1532,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2136,1074,1062,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,1123,565,558,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2735,1378,1357,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,2909,1460,1449,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3185,1599,1586,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,3270,1637,1633,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,2731,1374,1357,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,2203,1102,1101,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,2345,1181,1164,APC
chr5,112174533,112174691,CHP2_APC_2.1,2727,1370,1357,APC
chr5,112175119,112175293,CHP2_APC_3.1,2680,1343,1337,APC
chr5,112175291,112175468,CHP2_APC_4.1,2997,1507,1490,APC
chr5,112175543,112175728,CHP2_APC_5.1,1048,527,521,APC
chr5,112175716,112175887,CHP2_APC_6.1,3832,1937,1895,APC
chr5,112175896,112176060,CHP2_APC_7.1,889,449,440,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,485,245,240,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,1376,692,684,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,2309,1164,1145,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2287,1150,1137,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,1930,969,961,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,5507,2767,2740,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,753,385,368,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,2135,1071,1064,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1048,529,519,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1963,984,979,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2546,1278,1268,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3698,1852,1846,MET
chr7,116340131,116340295,CHP2_MET_2.1,2377,1201,1176,MET
chr7,116403107,116403276,CHP2_MET_3.1,2057,1037,1020,MET
chr7,116411854,116412022,CHP2_MET_4.1,3614,1818,1796,MET
chr7,116417403,116417567,CHP2_MET_5.1,3576,1801,1775,MET
chr7,116423383,116423517,CHP2_MET_6.1,1764,885,879,MET
chr7,128845039,128845213,CHP2_SMO_1.1,2732,1371,1361,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1004,500,504,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1315,663,652,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1181,592,589,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,1988,1006,982,SMO
chr7,140453078,140453246,CHP2_BRAF_2.1,3195,1604,1591,BRAF
chr7,140481367,140481540,CHP2_BRAF_1.1,3522,1775,1747,BRAF
chr7,148508682,148508816,CHP2_EZH2_1.1,2859,1434,1425,EZH2
chr8,38282116,38282279,CHP2_FGFR1_2.1,1812,912,900,FGFR1
chr8,38285827,38286000,CHP2_FGFR1_1.1,1061,534,527,FGFR1
chr9,5073705,5073882,CHP2_JAK2_1.1,2037,1014,1023,JAK2
chr9,21970916,21971091,CHP2_CDKN2A_2.1,392,194,198,CDKN2A
chr9,21971066,21971244,CHP2_CDKN2A_1.1,742,402,340,CDKN2A
chr9,80409351,80409523,CHP2_GNAQ_1.1,1879,948,931,GNAQ
chr9,133738270,133738403,CHP2_ABL1_1.1,4954,2481,2473,ABL1
chr9,133747418,133747555,CHP2_ABL1_2.1,3454,1728,1726,ABL1
chr9,133748255,133748442,CHP2_ABL1_3.1,2712,1361,1351,ABL1
chr9,133750283,133750430,CHP2_ABL1_4.1,1612,808,804,ABL1
chr9,139390740,139390910,CHP2_NOTCH1_3.1,687,346,341,NOTCH1
chr9,139397738,139397904,CHP2_NOTCH1_2.1,2379,1197,1182,NOTCH1
chr9,139399313,139399472,CHP2_NOTCH1_1.1,349,179,170,NOTCH1
chr10,43609042,43609207,CHP2_RET_1.1,1803,913,890,RET
chr10,43609850,43610035,CHP2_RET_2.1,463,234,229,RET
chr10,43613770,43613918,CHP2_RET_3.1,1402,703,699,RET
chr10,43615522,43615712,CHP2_RET_4.1,935,475,460,RET
chr10,43617290,43617458,CHP2_RET_5.1,2194,1105,1089,RET
chr10,89624183,89624325,CHP2_PTEN_1.1,975,488,487,PTEN
chr10,89685234,89685399,CHP2_PTEN_2.1,4383,2199,2184,PTEN
chr10,89692789,89692945,CHP2_PTEN_3.1,2630,1315,1315,PTEN
chr10,89711780,89711957,CHP2_PTEN_4.1,2043,1025,1018,PTEN
chr10,89717479,89717645,CHP2_PTEN_5.1,3055,1527,1528,PTEN
chr10,89717642,89717805,CHP2_PTEN_6.1,2659,1328,1331,PTEN
chr10,89720671,89720772,CHP2_PTEN_7.1,9750,4880,4870,PTEN
chr10,89720760,89720925,CHP2_PTEN_8.1,3403,1706,1697,PTEN
chr10,123257928,123258070,CHP2_FGFR2_4.1,3195,1604,1591,FGFR2
chr10,123274697,123274860,CHP2_FGFR2_3.1,1254,631,623,FGFR2
chr10,123279393,123279569,CHP2_FGFR2_2.1,3154,1582,1572,FGFR2
chr10,123279583,123279738,CHP2_FGFR2_1.1,2038,1024,1014,FGFR2
chr11,533788,533955,CHP2_HRAS_2.1,623,313,310,HRAS
chr11,534196,534333,CHP2_HRAS_1.1,549,279,270,HRAS
chr11,108117741,108117890,CHP2_ATM_1.1,3644,1828,1816,ATM
chr11,108119791,108119916,CHP2_ATM_2.1,5262,2652,2610,ATM
chr11,108123491,108123643,CHP2_ATM_3.1,5070,2550,2520,ATM
chr11,108137907,108138050,CHP2_ATM_4.1,3343,1671,1672,ATM
chr11,108155059,108155205,CHP2_ATM_5.1,3809,1916,1893,ATM
chr11,108170432,108170581,CHP2_ATM_6.1,2714,1359,1355,ATM
chr11,108172338,108172492,CHP2_ATM_7.1,6334,3183,3151,ATM
chr11,108173606,108173728,CHP2_ATM_8.1,6273,3145,3128,ATM
chr11,108180878,108180985,CHP2_ATM_9.1,2026,1014,1012,ATM
chr11,108200891,108201018,CHP2_ATM_10.1,3418,1721,1697,ATM
chr11,108204610,108204709,CHP2_ATM_11.1,5286,2650,2636,ATM
chr11,108205707,108205841,CHP2_ATM_12.1,6458,3241,3217,ATM
chr11,108206499,108206653,CHP2_ATM_13.1,5603,2814,2789,ATM
chr11,108217991,108218169,CHP2_ATM_14.1,3051,1530,1521,ATM
chr11,108225525,108225657,CHP2_ATM_15.1,3413,1712,1701,ATM
chr11,108236018,108236165,CHP2_ATM_16.1,2052,1025,1027,ATM
chr11,108236162,108236310,CHP2_ATM_17.1,1049,521,528,ATM
chr12,25378525,25378683,CHP2_KRAS_3.1,5255,2633,2622,KRAS
chr12,25380236,25380389,CHP2_KRAS_2.1,4392,2209,2183,KRAS
chr12,25398162,25398329,CHP2_KRAS_1.1,3673,1850,1823,KRAS
chr12,112888094,112888253,CHP2_PTPN11_1.1,4121,2078,2043,PTPN11
chr12,112926811,112926986,CHP2_PTPN11_2.1,3537,1777,1760,PTPN11
chr12,121431347,121431484,CHP2_HNF1A_1.1,1963,989,974,HNF1A
chr12,121431986,121432124,CHP2_HNF1A_2.1,3207,1611,1596,HNF1A
chr13,28592555,28592688,CHP2_FLT3_4.1,2940,1478,1462,FLT3
chr13,28602251,28602404,CHP2_FLT3_3.1,3833,1925,1908,FLT3
chr13,28608203,28608373,CHP2_FLT3_2.1,3102,1560,1542,FLT3
chr13,28610069,28610209,CHP2_FLT3_1.1,5215,2622,2593,FLT3
chr13,48919199,48919337,CHP2_RB1_1.1,3264,1635,1629,RB1
chr13,48923115,48923280,CHP2_RB1_2.1,2869,1435,1434,RB1
chr13,48941577,48941749,CHP2_RB1_3.1,2088,1048,1040,RB1
chr13,48942573,48942736,CHP2_RB1_4.1,1390,700,690,RB1
chr13,48953729,48953899,CHP2_RB1_5.1,2361,1186,1175,RB1
chr13,48955501,48955630,CHP2_RB1_6.1,4139,2081,2058,RB1
chr13,49027081,49027203,CHP2_RB1_7.1,2860,1434,1426,RB1
chr13,49033803,49033959,CHP2_RB1_8.1,3029,1518,1511,RB1
chr13,49037822,49037957,CHP2_RB1_9.1,3584,1796,1788,RB1
chr13,49039125,49039257,CHP2_RB1_10.1,2600,1301,1299,RB1
chr14,105241409,105241544,CHP2_AKT1_2.1,1383,694,689,AKT1
chr14,105246421,105246608,CHP2_AKT1_1.1,718,362,356,AKT1
chr15,90631800,90631979,CHP2_IDH2_1.1,2097,1051,1046,IDH2
chr16,68835578,68835722,CHP2_CDH1_1.1,3383,1703,1680,CDH1
chr16,68846000,68846176,CHP2_CDH1_2.1,2686,1347,1339,CDH1
chr16,68847175,68847327,CHP2_CDH1_3.1,3804,1899,1905,CDH1
chr17,7573899,7574060,CHP2_TP53_8.1,1855,934,921,TP53
chr17,7576991,7577176,CHP2_TP53_7.1,1581,795,786,TP53
chr17,7577484,7577637,CHP2_TP53_6.1,3296,1657,1639,TP53
chr17,7578156,7578323,CHP2_TP53_5.1,1914,964,950,TP53
chr17,7578328,7578508,CHP2_TP53_4.1,2728,1375,1353,TP53
chr17,7578492,7578626,CHP2_TP53_3.1,2036,1024,1012,TP53
chr17,7579326,7579510,CHP2_TP53_2.1,1086,555,531,TP53
chr17,7579829,7579985,CHP2_TP53_1.1,3351,1685,1666,TP53
chr17,37880188,37880365,CHP2_ERBB2_1.1,3771,1890,1881,ERBB2
chr17,37880929,37881086,CHP2_ERBB2_2.1,2178,1097,1081,ERBB2
chr17,37881300,37881478,CHP2_ERBB2_3.1,1458,762,696,ERBB2
chr18,48575075,48575238,CHP2_SMAD4_1.1,2307,1152,1155,SMAD4
chr18,48575532,48575702,CHP2_SMAD4_2.1,1445,723,722,SMAD4
chr18,48581166,48581327,CHP2_SMAD4_3.1,1712,864,848,SMAD4
chr18,48584527,48584703,CHP2_SMAD4_4.1,2608,1306,1302,SMAD4
chr18,48586227,48586386,CHP2_SMAD4_5.1,1847,928,919,SMAD4
chr18,48591790,48591956,CHP2_SMAD4_6.1,2898,1452,1446,SMAD4
chr18,48593375,48593544,CHP2_SMAD4_7.1,1269,637,632,SMAD4
chr18,48603004,48603144,CHP2_SMAD4_8.1,2758,1389,1369,SMAD4
chr18,48604634,48604799,CHP2_SMAD4_9.1,1245,629,616,SMAD4
chr19,1206953,1207129,CHP2_STK11_1.1,2228,1121,1107,STK11
chr19,1220286,1220475,CHP2_STK11_2.1,394,200,194,STK11
chr19,1220456,1220628,CHP2_STK11_3.1,900,525,375,STK11
chr19,1221212,1221357,CHP2_STK11_4.1,1462,734,728,STK11
chr19,1222990,1223169,CHP2_STK11_5.1,1428,715,713,STK11
chr19,3118857,3118998,CHP2_GNA11_1.1,925,463,462,GNA11
chr19,17945592,17945759,CHP2_JAK3_3.1,2089,1051,1038,JAK3
chr19,17947962,17948099,CHP2_JAK3_2.1,1388,689,699,JAK3
chr19,17954110,17954250,CHP2_JAK3_1.1,2136,1077,1059,JAK3
chr20,36031642,36031794,CHP2_SRC_1.1,2854,1431,1423,SRC
chr20,57484372,57484529,CHP2_GNAS_1.1,1123,568,555,GNAS
chr20,57484538,57484697,CHP2_GNAS_2.1,3802,1904,1898,GNAS
chr22,24133929,24134089,CHP2_SMARCB1_1.1,2265,1141,1124,SMARCB1
chr22,24143176,24143336,CHP2_SMARCB1_2.1,355,181,174,SMARCB1
chr22,24145453,24145623,CHP2_SMARCB1_3.1,2970,1497,1473,SMARCB1
chr22,24176235,24176416,CHP2_SMARCB1_4.1,770,384,386,SMARCB1
