Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,746,398,348,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,2590,1305,1285,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,1698,854,844,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,2394,1202,1192,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,661,335,326,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1363,694,669,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,3034,1518,1516,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,2844,1419,1425,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,681,343,338,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,4634,2336,2298,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,3281,1658,1623,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,2384,1197,1187,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,675,332,343,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,3619,1825,1794,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,2852,1426,1426,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,328,168,160,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,2178,1098,1080,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,2709,1362,1347,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,2795,1411,1384,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,889,451,438,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,2065,1036,1029,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,1470,739,731,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,2540,1275,1265,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,1477,748,729,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1152,580,572,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,1238,619,619,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,3078,1549,1529,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,1659,837,822,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,4105,2062,2043,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,2002,1007,995,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,2495,1251,1244,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,795,476,319,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,397,201,196,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1444,732,712,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2440,1227,1213,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2073,1044,1029,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,1875,944,931,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,3936,1978,1958,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,2458,1242,1216,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,2392,1199,1193,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,2908,1457,1451,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,3351,1686,1665,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,2680,1354,1326,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,4046,2035,2011,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,2055,1032,1023,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,4524,2268,2256,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,2542,1281,1261,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,3663,1832,1831,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,4651,2335,2316,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,1029,513,516,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,3302,1661,1641,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,3440,1738,1702,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,5077,2565,2512,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,5149,2587,2562,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,3098,1552,1546,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,1896,960,936,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,777,395,382,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,2476,1245,1231,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,3229,1617,1612,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,3523,1770,1753,FBXW7
chr4,153249331,153249502,CHP2_FBXW7_3.1,2784,1399,1385,FBXW7
chr4,153250828,153250951,CHP2_FBXW7_2.1,3381,1697,1684,FBXW7
chr4,153258877,153259048,CHP2_FBXW7_1.1,2482,1250,1232,FBXW7
chr5,112173847,112173987,CHP2_APC_1.1,3174,1595,1579,APC
chr5,112174533,112174691,CHP2_APC_2.1,3420,1718,1702,APC
chr5,112175119,112175293,CHP2_APC_3.1,3085,1553,1532,APC
chr5,112175291,112175468,CHP2_APC_4.1,3769,1907,1862,APC
chr5,112175543,112175728,CHP2_APC_5.1,1460,734,726,APC
chr5,112175716,112175887,CHP2_APC_6.1,4713,2376,2337,APC
chr5,112175896,112176060,CHP2_APC_7.1,1632,821,811,APC
chr5,149433569,149433717,CHP2_CSF1R_2.1,758,383,375,CSF1R
chr5,149452967,149453098,CHP2_CSF1R_1.1,2032,1024,1008,CSF1R
chr5,170837477,170837641,CHP2_NPM1_1.1,3137,1578,1559,NPM1
chr7,55211020,55211151,CHP2_EGFR_1.1,2192,1096,1096,EGFR
chr7,55221768,55221944,CHP2_EGFR_2.1,1864,937,927,EGFR
chr7,55232938,55233078,CHP2_EGFR_3.1,4954,2485,2469,EGFR
chr7,55241611,55241754,CHP2_EGFR_4.1,956,484,472,EGFR
chr7,55242387,55242565,CHP2_EGFR_5.1,1933,970,963,EGFR
chr7,55248941,55249115,CHP2_EGFR_6.1,1159,584,575,EGFR
chr7,55249098,55249270,CHP2_EGFR_7.1,1936,982,954,EGFR
chr7,55259483,55259653,CHP2_EGFR_8.1,2144,1080,1064,EGFR
chr7,116339591,116339726,CHP2_MET_1.1,3319,1670,1649,MET
chr7,116340131,116340295,CHP2_MET_2.1,1928,970,958,MET
chr7,116403107,116403276,CHP2_MET_3.1,1894,959,935,MET
chr7,116411854,116412022,CHP2_MET_4.1,2627,1322,1305,MET
chr7,116417403,116417567,CHP2_MET_5.1,2569,1295,1274,MET
chr7,116423383,116423517,CHP2_MET_6.1,1934,975,959,MET
chr7,128845039,128845213,CHP2_SMO_1.1,2733,1371,1362,SMO
chr7,128845933,128846088,CHP2_SMO_2.1,1219,611,608,SMO
chr7,128846313,128846444,CHP2_SMO_3.1,1498,757,741,SMO
chr7,128850245,128850388,CHP2_SMO_4.1,1472,738,734,SMO
chr7,128851475,128851637,CHP2_SMO_5.1,2174,1094,1080,SMO
