Chr,Start,Stop,Region,Coverage,CoverageRead1,CoverageRead2,GeneIDs
chr1,43814944,43815111,CHP2_MPL_1.1,1831,984,847,MPL
chr1,115252161,115252294,CHP2_NRAS_3.1,3952,1970,1982,NRAS
chr1,115256480,115256609,CHP2_NRAS_2.1,3153,1581,1572,NRAS
chr1,115258665,115258799,CHP2_NRAS_1.1,4615,2325,2290,NRAS
chr2,29432548,29432705,CHP2_ALK_2.1,1183,599,584,ALK
chr2,29443583,29443754,CHP2_ALK_1.1,1679,854,825,ALK
chr2,209113079,209113231,CHP2_IDH1_1.1,5599,2815,2784,IDH1
chr2,212288880,212289015,CHP2_ERBB4_8.1,4584,2296,2288,ERBB4
chr2,212530027,212530205,CHP2_ERBB4_7.1,1414,708,706,ERBB4
chr2,212576775,212576935,CHP2_ERBB4_6.1,8796,4422,4374,ERBB4
chr2,212578264,212578440,CHP2_ERBB4_5.1,6377,3252,3125,ERBB4
chr2,212587109,212587264,CHP2_ERBB4_4.1,3503,1759,1744,ERBB4
chr2,212589740,212589892,CHP2_ERBB4_3.1,1193,601,592,ERBB4
chr2,212652695,212652831,CHP2_ERBB4_2.1,6800,3430,3370,ERBB4
chr2,212812051,212812194,CHP2_ERBB4_1.1,4899,2461,2438,ERBB4
chr3,10183741,10183879,CHP2_VHL_1.1,697,357,340,VHL
chr3,10188162,10188331,CHP2_VHL_2.1,3474,1759,1715,VHL
chr3,10191394,10191552,CHP2_VHL_3.1,4730,2384,2346,VHL
chr3,37067183,37067358,CHP2_MLH1_1.1,6767,3400,3367,MLH1
chr3,41266005,41266172,CHP2_CTNNB1_1.1,2078,1051,1027,CTNNB1
chr3,178916751,178916906,CHP2_PIK3CA_1.1,4664,2338,2326,PIK3CA
chr3,178916907,178917060,CHP2_PIK3CA_2.1,3229,1616,1613,PIK3CA
chr3,178921440,178921595,CHP2_PIK3CA_3.1,4928,2472,2456,PIK3CA
chr3,178927381,178927550,CHP2_PIK3CA_4.1,3147,1585,1562,PIK3CA
chr3,178927877,178928011,CHP2_PIK3CA_5.1,1564,784,780,PIK3CA
chr3,178928045,178928185,CHP2_PIK3CA_6.1,3086,1554,1532,PIK3CA
chr3,178935999,178936130,CHP2_PIK3CA_7.1,5912,2968,2944,PIK3CA
chr3,178938763,178938943,CHP2_PIK3CA_8.1,3480,1761,1719,PIK3CA
chr3,178947794,178947921,CHP2_PIK3CA_9.1,8714,4367,4347,PIK3CA
chr3,178951972,178952122,CHP2_PIK3CA_10.1,4134,2082,2052,PIK3CA
chr3,178952116,178952262,CHP2_PIK3CA_11.1,5020,2511,2509,PIK3CA
chr4,1803527,1803678,CHP2_FGFR3_1.1,820,478,342,FGFR3
chr4,1806057,1806212,CHP2_FGFR3_2.1,345,178,167,FGFR3
chr4,1807809,1807955,CHP2_FGFR3_3.1,1165,594,571,FGFR3
chr4,1808287,1808424,CHP2_FGFR3_4.1,2147,1082,1065,FGFR3
chr4,1808857,1809031,CHP2_FGFR3_5.1,2160,1098,1062,FGFR3
chr4,55140957,55141128,CHP2_PDGFRA_1.1,2935,1480,1455,PDGFRA
chr4,55144077,55144220,CHP2_PDGFRA_2.1,5988,3009,2979,PDGFRA
chr4,55144514,55144678,CHP2_PDGFRA_3.1,3897,1956,1941,PDGFRA
chr4,55152000,55152179,CHP2_PDGFRA_4.1,4269,2131,2138,PDGFRA
chr4,55561630,55561809,CHP2_KIT_1.1,6266,3137,3129,KIT
chr4,55592133,55592271,CHP2_KIT_2.1,5571,2802,2769,KIT
chr4,55593393,55593538,CHP2_KIT_3.1,4892,2468,2424,KIT
chr4,55593551,55593720,CHP2_KIT_4.1,7498,3762,3736,KIT
chr4,55594146,55594304,CHP2_KIT_5.1,3358,1685,1673,KIT
chr4,55595472,55595587,CHP2_KIT_6.1,7288,3660,3628,KIT
chr4,55597412,55597549,CHP2_KIT_7.1,4463,2235,2228,KIT
chr4,55599256,55599383,CHP2_KIT_8.1,5223,2622,2601,KIT
chr4,55602649,55602776,CHP2_KIT_9.1,7352,3686,3666,KIT
chr4,55946064,55946233,CHP2_KDR_9.1,2233,1125,1108,KDR
chr4,55946226,55946396,CHP2_KDR_8.1,6229,3142,3087,KDR
chr4,55953751,55953885,CHP2_KDR_7.1,5962,2994,2968,KDR
chr4,55955054,55955193,CHP2_KDR_6.1,8319,4192,4127,KDR
chr4,55960952,55961084,CHP2_KDR_5.1,9052,4554,4498,KDR
chr4,55962420,55962573,CHP2_KDR_4.1,5411,2716,2695,KDR
chr4,55972928,55973096,CHP2_KDR_3.1,2209,1107,1102,KDR
chr4,55979550,55979680,CHP2_KDR_2.1,2325,1177,1148,KDR
chr4,55980214,55980384,CHP2_KDR_1.1,4528,2271,2257,KDR
chr4,153245386,153245517,CHP2_FBXW7_5.1,5701,2873,2828,FBXW7
chr4,153247253,153247394,CHP2_FBXW7_4.1,5357,2717,2640,FBXW7
